,Nick,PDL,Jogos,link
1,斗鱼AG丨60second,1874,332,https://lol.qq.com/tft/#/masterDetail/85241ab9-d2d1-5805-99cb-6e16af269cc9/1
2,虎牙歌神弃徒x,1730,357,https://lol.qq.com/tft/#/masterDetail/11d84314-9e4d-5f6b-8bf1-fcb9a27dc591/1
3,斗鱼迅哥,1714,286,https://lol.qq.com/tft/#/masterDetail/a575e265-0729-5b92-82d6-afb7956fe9d0/1
4,小小炼药师,1630,153,https://lol.qq.com/tft/#/masterDetail/cb929150-21bf-5dab-a762-29961bb57f50/1
5,BilibiliDys丶bbx,1614,364,https://lol.qq.com/tft/#/masterDetail/7102ec04-d576-5bb9-b602-685f3023011c/1
6,虎牙丶赛寒,1605,455,https://lol.qq.com/tft/#/masterDetail/c0118c87-2d74-5e70-816a-faae0d5a856b/1
7,斗鱼丶Flancy,1582,327,https://lol.qq.com/tft/#/masterDetail/c4ec0e15-aaff-5490-9e57-e5865b60cdb4/1
8,虎牙冲榜赛战文欲,1500,360,https://lol.qq.com/tft/#/masterDetail/e6d29ac2-8c18-5098-a886-5f7227d7bb1f/1
9,斗鱼EL丶陈仔,1460,326,https://lol.qq.com/tft/#/masterDetail/048641ac-b713-5a97-a9f6-88a1eff24f23/1
10,斗鱼sudowoodoi,1424,375,https://lol.qq.com/tft/#/masterDetail/a3d04a01-8730-55d7-9445-14618d349611/1
11,虎牙冲榜赛丶天龙,1419,400,https://lol.qq.com/tft/#/masterDetail/920aa21a-6bab-5295-8ff1-c25bb6ee3492/1
12,斗鱼NB丶小飞,1397,432,https://lol.qq.com/tft/#/masterDetail/fcc2e3c3-98b7-5fbf-a8f7-4d443ebc4c02/1
13,IvyXek,1374,229,https://lol.qq.com/tft/#/masterDetail/d8626dc1-c613-543a-a32a-497373738066/1
14,douyu泽魔,1371,344,https://lol.qq.com/tft/#/masterDetail/a040a214-16ea-51a6-981a-3d7bc23ed661/1
15,斗鱼AG丶幻灭7,1350,435,https://lol.qq.com/tft/#/masterDetail/ab3f4efc-0fa9-52f9-b877-79f09505343e/1
16,虎牙冲榜赛天尊丨,1330,289,https://lol.qq.com/tft/#/masterDetail/5daada8c-81d0-54e9-8b94-129e9d811458/1
17,虎牙冲榜赛丶初七,1275,301,https://lol.qq.com/tft/#/masterDetail/f1041d88-5c11-5e72-8fdd-7720dba7e22e/1
18,虎牙冲榜赛丶胡x,1267,294,https://lol.qq.com/tft/#/masterDetail/b78882ff-5c5d-564b-94bb-0ae79bb6aded/1
19,虎牙冲榜赛丶ice,1250,431,https://lol.qq.com/tft/#/masterDetail/6ad3cb3d-29d1-53b6-8441-40063bb78308/1
20,斗鱼逝去z,1237,483,https://lol.qq.com/tft/#/masterDetail/30dbfeea-2d8b-555a-a880-722075d0be4d/1
21,斗鱼丶1920,1233,366,https://lol.qq.com/tft/#/masterDetail/af56c801-3944-51ca-b40c-ac764b369dda/1
22,虎牙丶陈广c,1225,366,https://lol.qq.com/tft/#/masterDetail/96a21980-8a0e-5e2a-81c9-2b5bd39e873c/1
23,douyu丶骚皮迷呀,1205,466,https://lol.qq.com/tft/#/masterDetail/b62cbd8c-89be-54cd-b9a3-b156213e24fe/1
24,啊熊丶,1200,215,https://lol.qq.com/tft/#/masterDetail/23a7da15-de27-5dff-bb72-c4443bb370a4/1
25,斗鱼NB丶小皮ovo,1200,364,https://lol.qq.com/tft/#/masterDetail/36632756-0b4e-55d6-bac3-1d223e4fa1e3/1
26,虎牙丶白龙,1194,311,https://lol.qq.com/tft/#/masterDetail/229a9434-0e6d-5e21-9b11-abc086844e3f/1
27,虎牙冲榜赛丨神超,1180,372,https://lol.qq.com/tft/#/masterDetail/be7f1446-e179-5592-9a03-7505e740b5f7/1
28,天和街浪子李少z,1179,367,https://lol.qq.com/tft/#/masterDetail/3fb11c64-3251-57f4-a546-1adfe9177e40/1
29,虎牙冲榜赛丶迷途,1170,328,https://lol.qq.com/tft/#/masterDetail/f002bf82-1e7e-521e-962f-5335b80eb8f9/1
30,斗鱼AG60seconed,1148,204,https://lol.qq.com/tft/#/masterDetail/ce92c93a-a04c-536c-907c-7eb1b95ab0bc/1
31,粉红暴龙战士丶,1140,477,https://lol.qq.com/tft/#/masterDetail/eede9dbf-31ef-5ce1-87a1-99e138a1b8dc/1
32,斗鱼炬合丶梨落,1136,290,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
33,上分加729889524,1135,278,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
34,斗鱼丶阿豪ei,1133,352,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
35,六个字可以吗,1133,341,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
36,虎牙丶sea,1122,356,https://lol.qq.com/tft/#/masterDetail/a13730fa-32a8-5b04-8d11-23b0ab992056/1
37,虎牙红莲丶777,1118,314,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
38,斗鱼丶雪下望月,1106,392,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
39,图奇丶绝世拿铁,1102,320,https://lol.qq.com/tft/#/masterDetail/7b3706b7-8bf8-5900-8a12-67f540998cc6/1
40,虎牙冲榜赛丶狂乱,1100,343,https://lol.qq.com/tft/#/masterDetail/34943721-6feb-5dc1-a867-cddb6fe9f9d1/1
41,bilibili21958476,1098,196,https://lol.qq.com/tft/#/masterDetail/c050d32a-1231-5124-9fe7-679c04e1828f/1
42,虎牙冲榜赛丶小涵,1090,296,https://lol.qq.com/tft/#/masterDetail/70266d3d-108e-5998-b789-969f1b930096/1
43,斗鱼NB丶栗萨,1089,273,https://lol.qq.com/tft/#/masterDetail/71adf4c0-829f-55da-a30e-0dfa985e942d/1
44,温温柔柔丶,1085,422,https://lol.qq.com/tft/#/masterDetail/76532ae0-e7ea-5048-82e7-cb7f45b71699/1
45,先让你们54血,1072,537,https://lol.qq.com/tft/#/masterDetail/4ed3754a-0f97-5790-a504-184101f67205/1
46,虎牙丶小豆皮儿,1069,285,https://lol.qq.com/tft/#/masterDetail/dc719252-8ca9-59e6-9093-de380098123c/1
47,斗鱼炫石stabby,1062,394,https://lol.qq.com/tft/#/masterDetail/71dfb9a8-5bb1-5d6b-bcb5-44914514ff3a/1
48,虎牙冲榜赛丶yu言,1047,342,https://lol.qq.com/tft/#/masterDetail/89df2e4b-fc4e-591a-938d-14c90f628f48/1
49,理想和你y,1028,358,https://lol.qq.com/tft/#/masterDetail/cf7b5468-0a38-53cc-960b-f3d7a6e545d1/1
